Indice,Saison,Emissions,Horizon,Percentile,Valeur
Degrés-jours de croissance ,Annuel,Obs,1981-2010,Obs,2396.2
Indice de gel ,Annuel,Obs,1981-2010,Obs,869.639
Événements de gel-dégel ,Annuel,Obs,1981-2010,Obs,73.124
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),Obs,1981-2010,Obs,0.038
Degrés-jours de croissance ,Annuel,rcp45,2041-2070,p10,2727.793
Degrés-jours de croissance ,Annuel,rcp45,2041-2070,p50,2954.701
Degrés-jours de croissance ,Annuel,rcp45,2041-2070,p90,3051.711
Degrés-jours de croissance ,Annuel,rcp45,2071-2100,p10,2754.274
Degrés-jours de croissance ,Annuel,rcp45,2071-2100,p50,3097.55
Degrés-jours de croissance ,Annuel,rcp45,2071-2100,p90,3232.062
Indice de gel ,Annuel,rcp85,2041-2070,p10,406.612
Indice de gel ,Annuel,rcp85,2041-2070,p50,510.124
Indice de gel ,Annuel,rcp85,2041-2070,p90,581.179
Indice de gel ,Annuel,rcp85,2071-2100,p10,214.712
Indice de gel ,Annuel,rcp85,2071-2100,p50,332.705
Indice de gel ,Annuel,rcp85,2071-2100,p90,407.691
Indice de gel ,Annuel,rcp45,2041-2070,p10,479.692
Indice de gel ,Annuel,rcp45,2041-2070,p50,621.936
Indice de gel ,Annuel,rcp45,2041-2070,p90,714.035
Indice de gel ,Annuel,rcp45,2071-2100,p10,412.326
Indice de gel ,Annuel,rcp45,2071-2100,p50,559.944
Indice de gel ,Annuel,rcp45,2071-2100,p90,656.654
Degrés-jours de croissance ,Annuel,rcp85,2041-2070,p10,2929.867
Degrés-jours de croissance ,Annuel,rcp85,2041-2070,p50,3101.934
Degrés-jours de croissance ,Annuel,rcp85,2041-2070,p90,3301.117
Degrés-jours de croissance ,Annuel,rcp85,2071-2100,p10,3253.507
Degrés-jours de croissance ,Annuel,rcp85,2071-2100,p50,3697.307
Degrés-jours de croissance ,Annuel,rcp85,2071-2100,p90,3988.335
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),Obs,1981-2010,Obs,0.326
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),Obs,1981-2010,Obs,0.467
Événements de gel-dégel ,Automne,Obs,1981-2010,Obs,20.021
Événements de gel-dégel ,Été,Obs,1981-2010,Obs,0.003
Événements de gel-dégel ,Hiver,Obs,1981-2010,Obs,25.429
Événements de gel-dégel ,Printemps,Obs,1981-2010,Obs,27.614
Événements de gel-dégel ,Annuel,rcp45,2041-2070,p10,58.2
Événements de gel-dégel ,Annuel,rcp45,2041-2070,p50,60.815
Événements de gel-dégel ,Annuel,rcp45,2041-2070,p90,69.923
Événements de gel-dégel ,Annuel,rcp45,2071-2100,p10,56.07
Événements de gel-dégel ,Annuel,rcp45,2071-2100,p50,59.983
Événements de gel-dégel ,Annuel,rcp45,2071-2100,p90,63.148
Événements de gel-dégel ,Annuel,rcp85,2041-2070,p10,54.382
Événements de gel-dégel ,Annuel,rcp85,2041-2070,p50,60.312
Événements de gel-dégel ,Annuel,rcp85,2041-2070,p90,67.909
Événements de gel-dégel ,Annuel,rcp85,2071-2100,p10,47.856
Événements de gel-dégel ,Annuel,rcp85,2071-2100,p50,52.836
Événements de gel-dégel ,Annuel,rcp85,2071-2100,p90,65.12
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p10,0.627
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p50,1.324
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p90,2.459
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p10,2.003
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p50,3.77
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p90,6.123
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p10,0.147
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p50,0.57
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p90,1.221
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p10,0.242
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p50,0.965
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p90,1.542
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),Obs,1981-2010,Obs,0.121
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2041-2070,p10,1.239
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2041-2070,p50,2.211
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2041-2070,p90,3.13
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2071-2100,p10,1.683
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2071-2100,p50,3.241
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2071-2100,p90,3.976
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2041-2070,p10,2.514
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2041-2070,p50,3.341
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2041-2070,p90,5.129
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2071-2100,p10,4.52
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2071-2100,p50,5.986
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2071-2100,p90,6.805
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2041-2070,p10,3.314
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2041-2070,p50,3.708
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2041-2070,p90,5.53
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2071-2100,p10,4.844
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2071-2100,p50,6.647
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2071-2100,p90,6.895
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2041-2070,p10,1.826
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2041-2070,p50,2.594
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2041-2070,p90,3.505
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2071-2100,p10,1.912
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2071-2100,p50,3.53
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2071-2100,p90,4.617
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),Obs,1981-2010,Obs,1.13
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),Obs,1981-2010,Obs,1.709
Précipitations liquides totales ,Annuel,Obs,1981-2010,Obs,785.331
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p10,0.586
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p50,1.942
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p90,5.067
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p10,0.841
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p50,3.865
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p90,6.864
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p10,2.465
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p50,5.72
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p90,11.579
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p10,9.311
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p50,19.074
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p90,40.839
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2041-2070,p10,5.317
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2041-2070,p50,10.129
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2041-2070,p90,15.556
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2071-2100,p10,6.921
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2071-2100,p50,16.23
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp45,2071-2100,p90,20.885
Précipitations liquides totales ,Annuel,rcp85,2041-2070,p10,861.598
Précipitations liquides totales ,Annuel,rcp85,2041-2070,p50,930.047
Précipitations liquides totales ,Annuel,rcp85,2041-2070,p90,1013.953
Précipitations liquides totales ,Annuel,rcp85,2071-2100,p10,960.799
Précipitations liquides totales ,Annuel,rcp85,2071-2100,p50,1024.193
Précipitations liquides totales ,Annuel,rcp85,2071-2100,p90,1080.944
Précipitations liquides totales ,Annuel,rcp45,2041-2070,p10,827.966
Précipitations liquides totales ,Annuel,rcp45,2041-2070,p50,889.352
Précipitations liquides totales ,Annuel,rcp45,2041-2070,p90,926.828
Précipitations liquides totales ,Annuel,rcp45,2071-2100,p10,887.714
Précipitations liquides totales ,Annuel,rcp45,2071-2100,p50,918.299
Précipitations liquides totales ,Annuel,rcp45,2071-2100,p90,984.79
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2041-2070,p10,13.102
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2041-2070,p50,19.78
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2041-2070,p90,29.894
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2071-2100,p10,24.586
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2071-2100,p50,46.273
Nombre de jours de vague de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),rcp85,2071-2100,p90,63.008
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2041-2070,p10,7.974
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2041-2070,p50,12.086
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2041-2070,p90,17.994
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2071-2100,p10,8.391
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2071-2100,p50,18.07
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp45,2071-2100,p90,23.852
Précipitations liquides totales ,Automne,Obs,1981-2010,Obs,262.466
Précipitations liquides totales ,Été,Obs,1981-2010,Obs,278.397
Précipitations liquides totales ,Hiver,Obs,1981-2010,Obs,52.272
Précipitations liquides totales ,Printemps,Obs,1981-2010,Obs,192.27
Maximum des précipitations cumulées sur cinq jours ,Annuel,Obs,1981-2010,Obs,74.572
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2041-2070,p10,16.205
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2041-2070,p50,22.097
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2041-2070,p90,31.617
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2071-2100,p10,27.07
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2071-2100,p50,50.453
Nombre de jours de vague de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),rcp85,2071-2100,p90,68.632
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,Obs,1981-2010,Obs,67.823
Précipitations totales ,Annuel,Obs,1981-2010,Obs,1009.368
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp45,2041-2070,p10,72.462
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp45,2041-2070,p50,77.207
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp45,2041-2070,p90,83.797
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp45,2071-2100,p10,71.972
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp45,2071-2100,p50,78.539
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp45,2071-2100,p90,85.92
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp85,2041-2070,p10,71.667
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp85,2041-2070,p50,77.418
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp85,2041-2070,p90,87.481
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp85,2071-2100,p10,75.26
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp85,2071-2100,p50,82.785
Maximum des précipitations cumulées sur cinq jours ,Annuel,rcp85,2071-2100,p90,89.16
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp45,2041-2070,p10,65.654
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp45,2041-2070,p50,71.613
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp45,2041-2070,p90,79.07
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp45,2071-2100,p10,67.073
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp45,2071-2100,p50,72.972
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp45,2071-2100,p90,78.191
Précipitations totales ,Annuel,rcp45,2041-2070,p10,1014.988
Précipitations totales ,Annuel,rcp45,2041-2070,p50,1039.322
Précipitations totales ,Annuel,rcp45,2041-2070,p90,1094.983
Précipitations totales ,Annuel,rcp45,2071-2100,p10,1045.741
Précipitations totales ,Annuel,rcp45,2071-2100,p50,1072.559
Précipitations totales ,Annuel,rcp45,2071-2100,p90,1103.426
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp85,2041-2070,p10,65.177
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp85,2041-2070,p50,69.439
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp85,2041-2070,p90,81.746
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp85,2071-2100,p10,68.873
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp85,2071-2100,p50,75.047
Maximum des précipitations cumulées sur cinq jours ,Avril à septembre,rcp85,2071-2100,p90,79.5
Précipitations totales ,Annuel,rcp85,2041-2070,p10,1028.677
Précipitations totales ,Annuel,rcp85,2041-2070,p50,1103.115
Précipitations totales ,Annuel,rcp85,2041-2070,p90,1131.784
Précipitations totales ,Annuel,rcp85,2071-2100,p10,1070.403
Précipitations totales ,Annuel,rcp85,2071-2100,p50,1126.656
Précipitations totales ,Annuel,rcp85,2071-2100,p90,1169.91
Précipitations solides totales ,Annuel,Obs,1981-2010,Obs,224.037
Précipitations totales ,Automne,Obs,1981-2010,Obs,282.32
Précipitations totales ,Été,Obs,1981-2010,Obs,278.397
Précipitations totales ,Hiver,Obs,1981-2010,Obs,217.365
Précipitations totales ,Printemps,Obs,1981-2010,Obs,230.598
Températures moyennes ,Annuel,Obs,1981-2010,Obs,6.782
Précipitations solides totales ,Annuel,rcp45,2041-2070,p10,131.493
Précipitations solides totales ,Annuel,rcp45,2041-2070,p50,157.666
Précipitations solides totales ,Annuel,rcp45,2041-2070,p90,183.096
Précipitations solides totales ,Annuel,rcp45,2071-2100,p10,116.983
Précipitations solides totales ,Annuel,rcp45,2071-2100,p50,152.921
Précipitations solides totales ,Annuel,rcp45,2071-2100,p90,173.894
Précipitations solides totales ,Annuel,rcp85,2041-2070,p10,117.831
Précipitations solides totales ,Annuel,rcp85,2041-2070,p50,155.003
Précipitations solides totales ,Annuel,rcp85,2041-2070,p90,173.392
Précipitations solides totales ,Annuel,rcp85,2071-2100,p10,78.845
Précipitations solides totales ,Annuel,rcp85,2071-2100,p50,123.074
Précipitations solides totales ,Annuel,rcp85,2071-2100,p90,139.277
Précipitations solides totales ,Automne,Obs,1981-2010,Obs,19.855
Précipitations solides totales ,Été,Obs,1981-2010,Obs,0
Précipitations solides totales ,Hiver,Obs,1981-2010,Obs,165.093
Précipitations solides totales ,Printemps,Obs,1981-2010,Obs,38.328
Températures moyennes ,Annuel,rcp45,2041-2070,p10,8.254
Températures moyennes ,Annuel,rcp45,2041-2070,p50,9.232
Températures moyennes ,Annuel,rcp45,2041-2070,p90,9.952
Températures moyennes ,Annuel,rcp45,2071-2100,p10,8.387
Températures moyennes ,Annuel,rcp45,2071-2100,p50,9.92
Températures moyennes ,Annuel,rcp45,2071-2100,p90,10.62
Précipitations liquides totales ,Automne,rcp45,2041-2070,p10,255.877
Précipitations liquides totales ,Automne,rcp45,2041-2070,p50,273.539
Précipitations liquides totales ,Automne,rcp45,2041-2070,p90,293.117
Précipitations liquides totales ,Été,rcp45,2041-2070,p10,269.12
Précipitations liquides totales ,Été,rcp45,2041-2070,p50,281.605
Précipitations liquides totales ,Été,rcp45,2041-2070,p90,294.587
Précipitations liquides totales ,Hiver,rcp45,2041-2070,p10,81.32
Précipitations liquides totales ,Hiver,rcp45,2041-2070,p50,116.898
Précipitations liquides totales ,Hiver,rcp45,2041-2070,p90,142.541
Précipitations liquides totales ,Printemps,rcp45,2041-2070,p10,214.912
Précipitations liquides totales ,Printemps,rcp45,2041-2070,p50,223.332
Précipitations liquides totales ,Printemps,rcp45,2041-2070,p90,258.361
Précipitations liquides totales ,Automne,rcp45,2071-2100,p10,229.741
Précipitations liquides totales ,Automne,rcp45,2071-2100,p50,272.519
Précipitations liquides totales ,Automne,rcp45,2071-2100,p90,299.387
Précipitations liquides totales ,Été,rcp45,2071-2100,p10,272.52
Précipitations liquides totales ,Été,rcp45,2071-2100,p50,284.569
Précipitations liquides totales ,Été,rcp45,2071-2100,p90,301.406
Précipitations liquides totales ,Hiver,rcp45,2071-2100,p10,102.412
Précipitations liquides totales ,Hiver,rcp45,2071-2100,p50,123
Précipitations liquides totales ,Hiver,rcp45,2071-2100,p90,178.819
Précipitations liquides totales ,Printemps,rcp45,2071-2100,p10,223.263
Précipitations liquides totales ,Printemps,rcp45,2071-2100,p50,239.563
Précipitations liquides totales ,Printemps,rcp45,2071-2100,p90,253.104
Températures moyennes ,Annuel,rcp85,2041-2070,p10,9.21
Températures moyennes ,Annuel,rcp85,2041-2070,p50,9.937
Températures moyennes ,Annuel,rcp85,2041-2070,p90,10.571
Températures moyennes ,Annuel,rcp85,2071-2100,p10,10.486
Températures moyennes ,Annuel,rcp85,2071-2100,p50,12.536
Températures moyennes ,Annuel,rcp85,2071-2100,p90,13.517
Températures moyennes ,Automne,Obs,1981-2010,Obs,8.698
Températures moyennes ,Été,Obs,1981-2010,Obs,19.999
Températures moyennes ,Hiver,Obs,1981-2010,Obs,-7.79
Températures moyennes ,Printemps,Obs,1981-2010,Obs,5.892
Précipitations liquides totales ,Automne,rcp85,2041-2070,p10,255.498
Précipitations liquides totales ,Automne,rcp85,2041-2070,p50,284.93
Précipitations liquides totales ,Automne,rcp85,2041-2070,p90,300.154
Précipitations liquides totales ,Été,rcp85,2041-2070,p10,264.842
Précipitations liquides totales ,Été,rcp85,2041-2070,p50,285.667
Précipitations liquides totales ,Été,rcp85,2041-2070,p90,311.35
Précipitations liquides totales ,Hiver,rcp85,2041-2070,p10,96.969
Précipitations liquides totales ,Hiver,rcp85,2041-2070,p50,129.415
Précipitations liquides totales ,Hiver,rcp85,2041-2070,p90,168.306
Précipitations liquides totales ,Printemps,rcp85,2041-2070,p10,224.049
Précipitations liquides totales ,Printemps,rcp85,2041-2070,p50,238.306
Précipitations liquides totales ,Printemps,rcp85,2041-2070,p90,260.727
Précipitations liquides totales ,Automne,rcp85,2071-2100,p10,246.27
Précipitations liquides totales ,Automne,rcp85,2071-2100,p50,280.794
Précipitations liquides totales ,Automne,rcp85,2071-2100,p90,310.158
Précipitations liquides totales ,Été,rcp85,2071-2100,p10,244.433
Précipitations liquides totales ,Été,rcp85,2071-2100,p50,282.77
Précipitations liquides totales ,Été,rcp85,2071-2100,p90,304.482
Précipitations liquides totales ,Hiver,rcp85,2071-2100,p10,134.633
Précipitations liquides totales ,Hiver,rcp85,2071-2100,p50,182.358
Précipitations liquides totales ,Hiver,rcp85,2071-2100,p90,226.667
Précipitations liquides totales ,Printemps,rcp85,2071-2100,p10,255.066
Précipitations liquides totales ,Printemps,rcp85,2071-2100,p50,272.801
Précipitations liquides totales ,Printemps,rcp85,2071-2100,p90,285.248
Nombre de jours > 0°C ,Automne,Obs,1981-2010,Obs,67.403
Nombre de jours > 0°C ,Été,Obs,1981-2010,Obs,91.997
Nombre de jours > 0°C ,Hiver,Obs,1981-2010,Obs,4.595
Nombre de jours > 0°C ,Printemps,Obs,1981-2010,Obs,54.158
Précipitations totales ,Automne,rcp45,2041-2070,p10,262.364
Précipitations totales ,Automne,rcp45,2041-2070,p50,277.606
Précipitations totales ,Automne,rcp45,2041-2070,p90,306.195
Précipitations totales ,Été,rcp45,2041-2070,p10,269.12
Précipitations totales ,Été,rcp45,2041-2070,p50,281.605
Précipitations totales ,Été,rcp45,2041-2070,p90,294.587
Précipitations totales ,Hiver,rcp45,2041-2070,p10,222.428
Précipitations totales ,Hiver,rcp45,2041-2070,p50,248.223
Précipitations totales ,Hiver,rcp45,2041-2070,p90,270.77
Précipitations totales ,Printemps,rcp45,2041-2070,p10,231.715
Précipitations totales ,Printemps,rcp45,2041-2070,p50,244.914
Précipitations totales ,Printemps,rcp45,2041-2070,p90,283.369
Précipitations totales ,Automne,rcp45,2071-2100,p10,237.988
Précipitations totales ,Automne,rcp45,2071-2100,p50,276.336
Précipitations totales ,Automne,rcp45,2071-2100,p90,309.666
Précipitations totales ,Été,rcp45,2071-2100,p10,272.52
Précipitations totales ,Été,rcp45,2071-2100,p50,284.569
Précipitations totales ,Été,rcp45,2071-2100,p90,301.406
Précipitations totales ,Hiver,rcp45,2071-2100,p10,238.039
Précipitations totales ,Hiver,rcp45,2071-2100,p50,251.726
Précipitations totales ,Hiver,rcp45,2071-2100,p90,276.012
